timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Radial Complete,Conic
1779376855.811745315,1779376338.075380087,122,4,UpHybridRe,Bias,14.154207745824806,6.3399587050643476,6.3399587050643476,6.3399587050643476,6.3399587050643476,6.3399587050643476,6.3399587050643476,6.3399587050643476
1779376858.664477658,1779376340.857721090,123,4,UpHybridRe,Bias,14.153185470064281,6.338512667371523,6.338512667371523,6.338512667371523,6.338512667371523,6.338512667371523,6.338512667371523,6.338512667371523
1779376860.129789370,1779376342.369098902,124,4,UpHybridRe,Bias,14.14670047298431,6.329947590905033,6.329947590905033,6.329947590905033,6.329947590905033,6.329947590905033,6.329947590905033,6.329947590905033
1779376860.817050857,1779376343.064743042,125,4,UpHybridRe,Bias,14.141493022257237,6.328603726481084,6.328603726481084,6.328603726481084,6.328603726481084,6.328603726481084,6.328603726481084,6.328603726481084
1779376861.515078667,1779376343.745353937,126,4,UpHybridRe,Bias,14.142025138297402,6.329905122489272,6.329905122489272,6.329905122489272,6.329905122489272,6.329905122489272,6.329905122489272,6.329905122489272
1779376862.783326460,1779376345.001476049,127,4,UpHybridRe,Bias,14.139325012968515,6.328036506267259,6.328036506267259,6.328036506267259,6.328036506267259,6.328036506267259,6.328036506267259,6.328036506267259
1779376863.361609216,1779376345.547477961,128,4,UpHybridRe,Bias,14.130998688907516,6.323828649992455,6.323828649992455,6.323828649992455,6.323828649992455,6.323828649992455,6.323828649992455,6.323828649992455
1779376864.157294467,1779376346.393343925,129,4,UpHybridRe,Bias,14.12748196647332,6.322151147879801,6.322151147879801,6.322151147879801,6.322151147879801,6.322151147879801,6.322151147879801,6.322151147879801
1779376864.885731442,1779376347.088978052,130,4,UpHybridRe,Bias,14.124889387836578,6.319485552596952,6.319485552596952,6.319485552596952,6.319485552596952,6.319485552596952,6.319485552596952,6.319485552596952
1779376865.755682759,1779376348.054843903,131,4,UpHybridRe,Bias,14.110836150874555,6.316925070381943,6.316925070381943,6.316925070381943,6.316925070381943,6.316925070381943,6.316925070381943,6.316925070381943
1779376866.294857596,1779376348.585201025,132,4,UpHybridRe,Bias,14.112222280647355,6.326158934200247,6.326158934200247,6.326158934200247,6.326158934200247,6.326158934200247,6.326158934200247,6.326158934200247
1779376866.740782206,1779376348.955456972,133,4,UpHybridRe,Bias,14.098820465870302,6.31682231473708,6.31682231473708,6.31682231473708,6.31682231473708,6.31682231473708,6.31682231473708,6.31682231473708
1779376867.704243686,1779376349.821335077,134,4,UpHybridRe,Bias,14.100893901065204,6.322506030952187,6.322506030952187,6.322506030952187,6.322506030952187,6.322506030952187,6.322506030952187,6.322506030952187
1779376869.269417273,1779376351.478061914,135,4,UpHybridRe,Bias,14.101548484098021,6.329052367198634,6.329052367198634,6.329052367198634,6.329052367198634,6.329052367198634,6.329052367198634,6.329052367198634
