timestamp,pupil_hardware_timestamp,event_count,bin_count,button_id,active_model,Raw,Bias,Linear,Radial Concentric,Simple Radial,Sigmoid X+Y,Radial Complete,Conic
1779360894.909592039,1779360376.823148966,20,7,DownHybridRe,Radial Concentric,33.33811490035606,31.972153120657584,31.972153120657584,30.248416598504804,31.972153120657584,31.972153120657584,31.972153120657584,31.972153120657584
1779360895.276237410,1779360377.288527012,21,7,DownHybridRe,Radial Concentric,33.445546632569524,31.58980395774268,31.58980395774268,30.120717648901262,31.58980395774268,31.58980395774268,31.58980395774268,31.58980395774268
1779360896.800628435,1779360378.789419889,22,7,DownHybridRe,Radial Concentric,33.40482773201018,30.581543705882833,30.581543705882833,29.59199505328974,30.581543705882833,30.581543705882833,30.581543705882833,30.581543705882833
1779360898.422691110,1779360380.451041937,23,8,DownHybridRe,Radial Concentric,38.079807602237615,35.3630126137665,35.3630126137665,31.428807014084416,35.3630126137665,35.3630126137665,35.3630126137665,35.3630126137665
1779360899.803602915,1779360381.803056955,24,8,DownHybridRe,Radial Concentric,38.07844090683623,35.16768498637503,35.16768498637503,31.189432808393942,35.16768498637503,35.16768498637503,35.16768498637503,35.16768498637503
1779360900.737783768,1779360382.753813028,25,8,DownHybridRe,Radial Concentric,38.07103263028527,35.26204293320788,35.26204293320788,31.031098684668365,35.26204293320788,35.26204293320788,35.26204293320788,35.26204293320788
1779360904.891039853,1779360386.487416029,26,8,DownHybridRe,Radial Concentric,38.08913067235934,33.82838582551497,33.82838582551497,29.86734584772747,33.82838582551497,33.82838582551497,33.82838582551497,33.82838582551497
1779360905.390921061,1779360387.498271942,27,10,DownHybridRe,Radial Concentric,41.082594178475134,40.55227872272691,40.55227872272691,30.119946740721048,40.55227872272691,40.55227872272691,40.55227872272691,40.55227872272691
1779360912.620424935,1779360394.580082893,28,11,DownHybridRe,Radial Concentric,40.089967020351786,39.77977048463337,39.77977048463337,34.795605115683564,39.77977048463337,39.77977048463337,39.77977048463337,39.77977048463337
1779360915.507544250,1779360397.217324972,29,11,A,Radial Concentric,39.176760846048154,38.945179260092985,38.945179260092985,34.543441794067505,38.945179260092985,38.945179260092985,38.945179260092985,38.945179260092985
1779360917.056088679,1779360398.884042025,30,11,A,Radial Concentric,39.67131617386561,39.52556189270321,39.52556189270321,33.499553955010676,39.52556189270321,39.52556189270321,39.52556189270321,39.52556189270321
1779360917.707413752,1779360399.699796915,31,11,A,Radial Concentric,39.68952581507027,39.56050793251734,39.56050793251734,33.773675783967676,39.56050793251734,39.56050793251734,39.56050793251734,39.56050793251734
1779360925.043199663,1779360407.030970097,32,11,UpHybridRe,Radial Concentric,40.18426526956445,39.97797484088693,39.97797484088693,34.47265650621666,39.97797484088693,39.97797484088693,39.97797484088693,39.97797484088693
1779360928.666732193,1779360410.318907976,33,11,UpHybridRe,Radial Concentric,40.22044245787026,40.033800519173184,40.033800519173184,34.31249034937497,40.033800519173184,40.033800519173184,40.033800519173184,40.033800519173184
1779360930.016610897,1779360411.990994930,34,11,UpHybridRe,Radial Concentric,41.00911107956901,40.74212564959984,40.74212564959984,34.728397258648755,40.74212564959984,40.74212564959984,40.74212564959984,40.74212564959984
1779360930.643715954,1779360412.631607056,35,11,UpHybridRe,Radial Concentric,40.55248421103163,40.111447016289866,40.111447016289866,35.45892238880973,40.111447016289866,40.111447016289866,40.111447016289866,40.111447016289866
1779360938.497768679,1779360420.463182926,36,11,B,Radial Concentric,40.309689113254706,39.949976445017924,39.949976445017924,35.42195934951248,39.949976445017924,39.949976445017924,39.949976445017924,39.949976445017924
1779360939.948637204,1779360421.579304934,37,11,B,Radial Concentric,40.224529044064184,39.833995211528645,39.833995211528645,35.087325339413844,39.833995211528645,39.833995211528645,39.833995211528645,39.833995211528645
1779360983.692863449,1779360465.604711056,38,1,CloserHybridRe,Bias,16.342938801990012,3.9269209285720508,3.9269209285720508,3.9269209285720508,3.9269209285720508,3.9269209285720508,3.9269209285720508,3.9269209285720508
1779360984.075363506,1779360466.060087919,39,1,CloserHybridRe,Bias,16.21699020376491,8.963234897957603,8.963234897957603,8.963234897957603,8.963234897957603,8.963234897957603,8.963234897957603,8.963234897957603
1779360997.029046549,1779360478.662233114,40,3,UpHybridRe,Bias,9.87435189320898,7.875771626276435,7.875771626276435,7.875771626276435,7.875771626276435,7.875771626276435,7.875771626276435,7.875771626276435
1779360999.531479823,1779360481.489590883,41,3,LeftHybridRe,Bias,9.119724313967422,7.365217953324494,7.365217953324494,7.365217953324494,7.365217953324494,7.365217953324494,7.365217953324494,7.365217953324494
1779361000.167809636,1779360482.175224066,42,3,LeftHybridRe,Bias,11.16513089610832,5.9306718311832105,5.9306718311832105,5.9306718311832105,5.9306718311832105,5.9306718311832105,5.9306718311832105,5.9306718311832105
1779361001.322467991,1779360483.431677103,43,3,RightHybridRe,Bias,11.31115418256098,6.052871810821978,6.052871810821978,6.052871810821978,6.052871810821978,6.052871810821978,6.052871810821978,6.052871810821978
1779361004.881204228,1779360486.819255114,44,3,RightHybridRe,Bias,10.624148122138992,6.672080826251981,6.672080826251981,6.672080826251981,6.672080826251981,6.672080826251981,6.672080826251981,6.672080826251981
1779361006.820837015,1779360488.736000061,45,3,DownHybridRe,Bias,10.314417160361309,7.746580463156667,7.746580463156667,7.746580463156667,7.746580463156667,7.746580463156667,7.746580463156667,7.746580463156667
1779361009.103271306,1779360491.053491116,46,4,DownHybridRe,Bias,9.187206813628205,7.049589793257332,7.049589793257332,7.049589793257332,7.049589793257332,7.049589793257332,7.049589793257332,7.049589793257332
1779361010.633395205,1779360492.584758043,47,4,DownHybridRe,Bias,10.30887290481713,6.658607917844243,6.658607917844243,6.658607917844243,6.658607917844243,6.658607917844243,6.658607917844243,6.658607917844243
1779361011.058866370,1779360493.035135984,48,4,DownHybridRe,Bias,12.970035750946545,11.765926443599598,11.765926443599598,11.765926443599598,11.765926443599598,11.765926443599598,11.765926443599598,11.765926443599598
1779361013.009353728,1779360494.947422028,49,4,DownHybridRe,Bias,9.64728337379242,7.666088635460968,7.666088635460968,7.666088635460968,7.666088635460968,7.666088635460968,7.666088635460968,7.666088635460968
1779361013.492413919,1779360495.462933064,50,5,DownHybridRe,Radial Concentric,28.93861156880188,28.21702335994607,28.21702335994607,20.607210570590013,28.21702335994607,28.21702335994607,28.21702335994607,28.21702335994607
1779361016.880606965,1779360498.950644970,51,5,CloserHybridRe,Radial Concentric,28.987120986782866,28.37507537410799,28.37507537410799,20.664416281970286,28.37507537410799,28.37507537410799,28.37507537410799,28.37507537410799
1779361018.348347484,1779360500.291889906,52,5,CloserHybridRe,Radial Concentric,29.514706636815916,29.479590352817794,29.479590352817794,21.29835096244855,29.479590352817794,29.479590352817794,29.479590352817794,29.479590352817794
1779361020.092682153,1779360502.064177036,53,5,CloserHybridRe,Radial Concentric,29.492600393660666,29.46107952494919,29.46107952494919,21.358245740137804,29.46107952494919,29.46107952494919,29.46107952494919,29.46107952494919
1779361022.216609089,1779360504.135364056,54,5,A,Radial Concentric,29.1146142712578,28.785745296760687,28.785745296760687,20.523120594331054,28.785745296760687,28.785745296760687,28.785745296760687,28.785745296760687
1779361024.786066858,1779360506.782731056,55,5,DownHybridRe,Radial Concentric,29.350065779117067,29.13256301843616,29.13256301843616,20.73252848641362,29.13256301843616,29.13256301843616,29.13256301843616,29.13256301843616
1779361025.561496899,1779360507.523581028,56,5,DownHybridRe,Radial Concentric,30.097216474094022,30.65224163520059,30.65224163520059,22.98184509301753,30.65224163520059,30.65224163520059,30.65224163520059,30.65224163520059
1779361026.325269782,1779360508.309346914,57,5,DownHybridRe,Radial Concentric,31.492392803756434,31.18779967231753,31.18779967231753,21.180709099420202,31.18779967231753,31.18779967231753,31.18779967231753,31.18779967231753
1779361028.965117713,1779360510.926919937,58,5,A,Radial Concentric,31.36757009830626,30.15168916320321,30.15168916320321,23.29054616321812,30.15168916320321,30.15168916320321,30.15168916320321,30.15168916320321
1779361031.412251565,1779360513.339468956,59,5,UpHybridRe,Radial Concentric,31.419148375421255,30.116777754534017,30.116777754534017,22.08278275526408,30.116777754534017,30.116777754534017,30.116777754534017,30.116777754534017
1779361031.848223382,1779360513.804847002,60,5,UpHybridRe,Radial Concentric,31.419148375421255,30.116777754534017,30.116777754534017,22.08278275526408,30.116777754534017,30.116777754534017,30.116777754534017,30.116777754534017
1779361035.552706580,1779360517.432420015,61,5,UpHybridRe,Radial Concentric,31.78845797909578,30.74045489990919,30.74045489990919,21.316518330908156,30.74045489990919,30.74045489990919,30.74045489990919,30.74045489990919
1779361037.817585026,1779360519.820363998,62,5,B,Radial Concentric,31.836881723334763,30.979945057040165,30.979945057040165,21.17214906678548,30.979945057040165,30.979945057040165,30.979945057040165,30.979945057040165
1779361038.477150153,1779360520.405864000,63,5,B,Radial Concentric,31.735421415792672,31.080701165317578,31.080701165317578,21.107273393461433,31.080701165317578,31.080701165317578,31.080701165317578,31.080701165317578
1779361062.206800522,1779360544.137415886,64,6,UpHybridRe,Radial Concentric,28.69693716129437,28.354024206091097,28.354024206091097,21.14576165125645,28.354024206091097,28.354024206091097,28.354024206091097,28.354024206091097
1779361066.149367023,1779360548.046672106,65,6,UpHybridRe,Radial Concentric,29.343496108564754,29.37126207833075,29.37126207833075,22.808861211764388,29.37126207833075,29.37126207833075,29.37126207833075,29.37126207833075
1779361070.263795890,1779360552.159486055,66,6,UpHybridRe,Radial Concentric,28.523804921457394,28.343749735952247,28.343749735952247,21.825099926032337,28.343749735952247,28.343749735952247,28.343749735952247,28.343749735952247
1779361070.615400011,1779360552.609863997,67,6,UpHybridRe,Radial Concentric,28.52077576333273,28.354870814140277,28.354870814140277,21.84813879897656,28.354870814140277,28.354870814140277,28.354870814140277,28.354870814140277
1779361072.571867041,1779360553.290486097,68,1,UpHybridRe,Bias,20.657413625057274,4.618705874614819,4.618705874614819,4.618705874614819,4.618705874614819,4.618705874614819,4.618705874614819,4.618705874614819
1779361072.693843636,1779360554.201364040,69,1,UpHybridRe,Bias,5.923283761789601,2.6033764592926234,2.6033764592926234,2.6033764592926234,2.6033764592926234,2.6033764592926234,2.6033764592926234,2.6033764592926234
1779361073.347059032,1779360555.362957001,70,2,DownHybridRe,Bias,6.6145445135113565,5.024175240275518,5.024175240275518,5.024175240275518,5.024175240275518,5.024175240275518,5.024175240275518,5.024175240275518
1779361074.256941338,1779360556.243712902,71,2,DownHybridRe,Bias,8.046536262445676,6.535094548382083,6.535094548382083,6.535094548382083,6.535094548382083,6.535094548382083,6.535094548382083,6.535094548382083
1779361075.800783887,1779360557.725080013,72,2,UpHybridRe,Bias,6.367220945862018,5.9496888785005195,5.9496888785005195,5.9496888785005195,5.9496888785005195,5.9496888785005195,5.9496888785005195,5.9496888785005195
1779361076.562424731,1779360558.545799017,73,2,UpHybridRe,Bias,12.191898186042707,10.795058580887495,10.795058580887495,10.795058580887495,10.795058580887495,10.795058580887495,10.795058580887495,10.795058580887495
1779361080.230137420,1779360562.079391003,74,3,LeftHybridRe,Bias,7.384945404075761,6.172327665416841,6.172327665416841,6.172327665416841,6.172327665416841,6.172327665416841,6.172327665416841,6.172327665416841
