timestamp,input_id,status,button_status,percent
timestamp,x,y,z
timestamp,LX,LY,RX,RY,LT,RT,DPAD_X,DPAD_Y,A,B,X,Y,LB,RB,LT,RT,BACK,START,LS,RS,UP,DOWN,LEFT,RIGHT
2024-08-07 17:49:57.934624,TR,active,0,1.0
2024-08-07 17:49:57.936979,0.3825788879394531,0.7060425821940104,1.0
2024-08-07 17:49:57.938426,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:57.958653,0.3852831268310547,0.7077293904622396,1.0
2024-08-07 17:49:57.980231,S1Y_-1,inactive,0,0.0
2024-08-07 17:49:57.980231,TR,active,0,1.0
2024-08-07 17:49:57.988089,0.3806026458740234,0.7172120666503906,1.0
2024-08-07 17:49:57.982258,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:58.015126,S1Y_-1,inactive,0,0.0
2024-08-07 17:49:58.015126,TR,active,0,1.0
2024-08-07 17:49:58.016015,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:58.041503,0.3927508544921875,0.7115177917480469,1.0
2024-08-07 17:49:58.057008,S1Y_-1,inactive,0,0.0
2024-08-07 17:49:58.057008,TR,active,0,1.0
2024-08-07 17:49:58.058352,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:58.098552,0.4245728302001953,0.6970648701985677,1.0
2024-08-07 17:49:58.127646,0.4276874542236328,0.7015755716959635,1.0
2024-08-07 17:49:58.143795,S1Y_-1,inactive,0,0.2646736266666667
2024-08-07 17:49:58.143795,TR,active,0,0.7353263733333333
2024-08-07 17:49:58.136721,0.0,0.0,0.0,0.0,0.0,0.73532634973526,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:58.169947,0.4303880310058594,0.706599833170573,1.0
2024-08-07 17:49:58.191646,S1Y_-1,active,0,0.4489458166666668
2024-08-07 17:49:58.191646,TR,inactive,0,0.5510541833333332
2024-08-07 17:49:58.207708,0.43034278869628906,0.7144963073730469,1.0
2024-08-07 17:49:58.195078,0.0,-0.4489458203315735,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:58.228233,0.4318998718261719,0.7060538736979166,1.0
2024-08-07 17:49:58.249723,S1Y_-1,active,0,0.6390515133333334
2024-08-07 17:49:58.249723,TR,inactive,0,0.36094848666666657
2024-08-07 17:49:58.251590,0.0,-0.6390514969825745,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:58.256232,0.43123947143554686,0.717820078531901,1.0
2024-08-07 17:49:58.287908,0.42945274353027346,0.7099894205729167,1.0
2024-08-07 17:49:58.292633,S1Y_-1,active,0,0.7826345866666667
2024-08-07 17:49:58.292633,TR,inactive,0,0.21736541333333323
2024-08-07 17:49:58.293743,0.0,-0.7826346158981323,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:58.325940,S1Y_-1,active,0,0.8949228433333334
2024-08-07 17:49:58.325940,TR,inactive,0,0.10507715666666656
2024-08-07 17:49:58.318628,0.4290545654296875,0.71439453125,1.0
2024-08-07 17:49:58.327168,0.0,-0.8949228525161743,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2024-08-07 17:49:58.353402,0.4296174621582031,0.7179081726074219,1.0
